"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"1","2009.1","ACF",203,"All cases",123155,30789,659.326382799052,571.983703382644,756.163952679978,"pre_ACF"
"2","2009.1","Non-ACF",393,"All cases",275665,68916,570.259446282431,515.404400546055,629.33684977232,"pre_ACF"
"3","2009.2","ACF",186,"All cases",124033,31008,599.84520123839,516.941279323814,692.197862473631,"pre_ACF"
"4","2009.2","Non-ACF",381,"All cases",277579,69395,549.030910007926,495.40866919758,606.849244587628,"pre_ACF"
"5","2009.3","ACF",165,"All cases",124909,31227,528.38889422615,451.008212846995,615.179299198451,"pre_ACF"
"6","2009.3","Non-ACF",468,"All cases",279488,69872,669.796198763453,610.656828544269,733.086034255137,"pre_ACF"
"7","2009.4","ACF",215,"All cases",125786,31446,683.711759842269,595.623359662131,781.086119459551,"pre_ACF"
"8","2009.4","Non-ACF",452,"All cases",281400,70350,642.501776830135,584.793153207429,704.336040857589,"pre_ACF"
"9","2010.1","ACF",169,"All cases",126665,31666,533.69544621992,456.433309444855,620.233096680403,"pre_ACF"
"10","2010.1","Non-ACF",353,"All cases",283311,70828,498.390467046931,447.859462833785,553.039556823936,"pre_ACF"
"11","2010.2","ACF",156,"All cases",127540,31885,489.258271914693,415.641764710968,572.1041557304,"pre_ACF"
"12","2010.2","Non-ACF",325,"All cases",285226,71306,455.782122121561,407.666718795183,507.994525439977,"pre_ACF"
"13","2010.3","ACF",161,"All cases",128417,32104,501.495140792425,427.174486490455,584.976264325603,"pre_ACF"
"14","2010.3","Non-ACF",341,"All cases",287138,71784,475.036219770422,426.050675855484,528.088153228888,"pre_ACF"
"15","2010.4","ACF",163,"All cases",129298,32324,504.269273604752,429.979838183482,587.654904534661,"pre_ACF"
"16","2010.4","Non-ACF",369,"All cases",289049,72262,510.641831114555,459.976790175049,565.340698533979,"pre_ACF"
"17","2011.1","ACF",142,"All cases",130173,32543,436.34575792029,367.651367456658,514.103751218479,"pre-ACF"
"18","2011.1","Non-ACF",239,"All cases",290961,72740,328.56750068738,288.285068171488,372.888556576293,"pre-ACF"
"19","2011.2","ACF",268,"All cases",131048,32762,818.020877846285,723.339780112856,921.570211522138,"ACF"
"20","2011.2","Non-ACF",334,"All cases",292874,73218,456.171979567866,408.650837241927,507.682121137812,"ACF"
"21","2011.3","ACF",283,"All cases",131928,32982,858.043781456552,761.335673942408,963.549117718776,"ACF"
"22","2011.3","Non-ACF",365,"All cases",294786,73696,495.2778983934,445.872386885314,548.640338649716,"ACF"
"23","2011.4","ACF",280,"All cases",132803,33201,843.348091924942,747.797496095009,947.641400168064,"ACF"
"24","2011.4","Non-ACF",381,"All cases",296699,74175,513.650151668352,463.475612040399,567.753181756581,"ACF"
"25","2012.1","ACF",266,"All cases",133682,33420,795.930580490724,703.462404583417,897.096931777919,"ACF"
"26","2012.1","Non-ACF",342,"All cases",298609,74652,458.125703263141,410.947720035871,509.215083086555,"ACF"
"27","2012.2","ACF",269,"All cases",134558,33640,799.643281807372,707.24890804882,900.677331875421,"ACF"
"28","2012.2","Non-ACF",312,"All cases",300522,75130,415.280181019566,370.55420501917,463.89925173824,"ACF"
"29","2012.3","ACF",255,"All cases",135437,33859,753.123246404206,663.803082177442,851.039918785723,"ACF"
"30","2012.3","Non-ACF",380,"All cases",302431,75608,502.592318273199,453.432631428065,555.606983122604,"ACF"
"31","2012.4","ACF",251,"All cases",136314,34078,736.545571923235,648.513882064685,833.122773825445,"ACF"
"32","2012.4","Non-ACF",389,"All cases",304344,76086,511.263570170596,461.824790479537,564.531690585717,"ACF"
"33","2013.1","ACF",242,"All cases",137189,34297,705.601072980144,619.752727577944,799.94889520415,"ACF"
"34","2013.1","Non-ACF",407,"All cases",306258,76564,531.581422078261,481.303594273986,585.661710294299,"ACF"
"35","2013.2","ACF",197,"All cases",138069,34517,570.733261870962,493.996679386005,655.957325023657,"ACF"
"36","2013.2","Non-ACF",375,"All cases",308169,77042,486.74748838296,438.826074954854,538.453757240649,"ACF"
"37","2013.3","ACF",234,"All cases",138945,34736,673.652694610778,590.336416337831,765.36942840979,"ACF"
"38","2013.3","Non-ACF",372,"All cases",310079,77520,479.876160990712,432.44460947454,531.07000689417,"ACF"
"39","2013.4","ACF",221,"All cases",139820,34955,632.241453297096,551.842496935103,721.000362110724,"ACF"
"40","2013.4","Non-ACF",299,"All cases",311993,77998,383.343162645196,341.188805863415,429.251365543381,"ACF"
"41","2014.1","ACF",261,"All cases",140699,35175,742.004264392324,654.984500904514,837.298831397915,"ACF"
"42","2014.1","Non-ACF",318,"All cases",313904,78476,405.219430144248,361.977145787644,452.188919627537,"ACF"
"43","2014.2","ACF",211,"All cases",141576,35394,596.146239475617,518.611565097878,681.947415156869,"ACF"
"44","2014.2","Non-ACF",274,"All cases",315815,78954,347.037515515363,307.21809640402,390.571158133375,"ACF"
"45","2014.3","ACF",229,"All cases",142453,35613,643.023614972061,562.650214051718,731.597567132769,"ACF"
"46","2014.3","Non-ACF",274,"All cases",317727,79432,344.949138886091,305.368986698821,388.221318321164,"ACF"
"47","2014.4","ACF",227,"All cases",143330,35832,633.511944630498,553.987794227345,721.188860601374,"post-ACF"
"48","2014.4","Non-ACF",316,"All cases",319639,79910,395.44487548492,353.114300048427,441.436702242628,"post-ACF"
"49","2015.1","ACF",223,"All cases",144207,36052,618.550981915012,540.230013469705,704.978972556347,"post-ACF"
"50","2015.1","Non-ACF",265,"All cases",321550,80388,329.651191720157,291.206634018176,371.746199929564,"post-ACF"
"51","2015.2","ACF",202,"All cases",145083,36271,556.918750516942,482.934564024761,638.979914695743,"post-ACF"
"52","2015.2","Non-ACF",284,"All cases",323462,80866,351.198278633789,311.596543218324,394.424847652287,"post-ACF"
"53","2015.3","ACF",219,"All cases",145960,36490,600.164428610578,523.498290520152,684.844834166931,"post-ACF"
"54","2015.3","Non-ACF",296,"All cases",325377,81344,363.886703383163,323.672138996133,407.702454936333,"post-ACF"
"55","2015.4","ACF",185,"All cases",146839,36710,503.949877417597,434.090689385797,581.806145562278,"post-ACF"
"56","2015.4","Non-ACF",288,"All cases",327285,81821,351.987875973161,312.56561866823,394.992118816471,"post-ACF"
"57","2016.1","ACF",209,"All cases",147717,36929,565.950878713206,491.994936841411,647.835389273434,"post-ACF"
"58","2016.1","Non-ACF",261,"All cases",329199,82300,317.132442284326,279.872347406729,357.959620934652,"post-ACF"
"59","2016.2","ACF",204,"All cases",148591,37148,549.154732421665,476.545374356511,629.650738764294,"post-ACF"
"60","2016.2","Non-ACF",268,"All cases",331114,82778,323.75752011404,286.204727487944,364.855387804309,"post-ACF"
"61","2016.3","ACF",196,"All cases",149470,37368,524.512952258617,453.803966170332,603.069640260272,"post-ACF"
"62","2016.3","Non-ACF",277,"All cases",333025,83256,332.708753723455,294.732093933175,374.208353563353,"post-ACF"
"63","2016.4","ACF",228,"All cases",150348,37587,606.592704924575,530.600605720833,690.360764648257,"post-ACF"
"64","2016.4","Non-ACF",314,"All cases",334937,83734,374.997014354981,334.72769049965,418.762027088376,"post-ACF"
"65","2017.1","ACF",231,"All cases",151225,37806,611.014124742104,534.9516905022,694.805703533707,"post-ACF"
"66","2017.1","Non-ACF",302,"All cases",336849,84212,358.618724172327,319.369664225471,401.34603580272,"post-ACF"
"67","2017.2","ACF",183,"All cases",152103,38026,481.249671277547,414.181043573243,556.043148505807,"post-ACF"
"68","2017.2","Non-ACF",292,"All cases",338760,84690,344.786869760302,306.42750246813,386.606921284331,"post-ACF"
"69","2017.3","ACF",179,"All cases",152979,38245,468.035037259772,402.107240622016,541.647529142069,"post-ACF"
"70","2017.3","Non-ACF",341,"All cases",340672,85168,400.385121172271,359.084080462377,445.118679688749,"post-ACF"
"71","2017.4","ACF",141,"All cases",153856,38464,366.576539101498,308.654236121393,432.17873562942,"post-ACF"
"72","2017.4","Non-ACF",271,"All cases",342583,85646,316.418746935058,279.913492391257,356.350490565112,"post-ACF"
"73","2018.1","ACF",169,"All cases",154732,38683,436.884419512447,373.612207281245,507.764421391469,"post-ACF"
"74","2018.1","Non-ACF",287,"All cases",344497,86124,333.240444010961,295.85182051946,374.033482704145,"post-ACF"
"75","2018.2","ACF",198,"All cases",155611,38903,508.958178032542,440.67654714268,584.779347040086,"post-ACF"
"76","2018.2","Non-ACF",274,"All cases",346407,86602,316.389921710815,280.082253344668,356.085888168587,"post-ACF"
"77","2018.3","ACF",212,"All cases",156468,39117,541.963852033643,471.620726305712,619.794497744644,"post-ACF"
"78","2018.3","Non-ACF",296,"All cases",348273,87068,339.964165939266,302.389487570326,380.904900992188,"post-ACF"
"79","2018.4","ACF",163,"All cases",157331,39333,414.410291612641,353.336449987941,482.97296456401,"post-ACF"
