"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"1","2009.1","ACF",75,"Smr/Xpert-positive cases",123155,30789,243.593491181916,191.648467379751,305.252234088455,"pre_ACF"
"2","2009.1","Non-ACF",107,"Smr/Xpert-positive cases",275665,68916,155.261477741018,127.257439970562,187.587241940556,"pre_ACF"
"3","2009.2","ACF",88,"Smr/Xpert-positive cases",124033,31008,283.797729618163,227.674403300126,349.531567049413,"pre_ACF"
"4","2009.2","Non-ACF",127,"Smr/Xpert-positive cases",277579,69395,183.010303335975,152.589580328869,217.709707325447,"pre_ACF"
"5","2009.3","ACF",56,"Smr/Xpert-positive cases",124909,31227,179.331988343421,135.493016228659,232.815140011479,"pre_ACF"
"6","2009.3","Non-ACF",189,"Smr/Xpert-positive cases",279488,69872,270.494618731395,233.345842575216,311.863685842863,"pre_ACF"
"7","2009.4","ACF",65,"Smr/Xpert-positive cases",125786,31446,206.703555301151,159.564555711296,263.385860038662,"pre_ACF"
"8","2009.4","Non-ACF",172,"Smr/Xpert-positive cases",281400,70350,244.491826581379,209.353284455045,283.828921279673,"pre_ACF"
"9","2010.1","ACF",74,"Smr/Xpert-positive cases",126665,31666,233.68913029748,183.539416621429,293.287718956971,"pre_ACF"
"10","2010.1","Non-ACF",106,"Smr/Xpert-positive cases",283311,70828,149.658327215226,122.543739471144,180.979056211885,"pre_ACF"
"11","2010.2","ACF",65,"Smr/Xpert-positive cases",127540,31885,203.857613297789,157.367157132669,259.760518900148,"pre_ACF"
"12","2010.2","Non-ACF",92,"Smr/Xpert-positive cases",285226,71306,129.021400723642,104.02174202119,158.210178095679,"pre_ACF"
"13","2010.3","ACF",71,"Smr/Xpert-positive cases",128417,32104,221.156242212808,172.76402469037,278.877857420612,"pre_ACF"
"14","2010.3","Non-ACF",101,"Smr/Xpert-positive cases",287138,71784,140.699877410008,114.61652318824,170.93722988212,"pre_ACF"
"15","2010.4","ACF",67,"Smr/Xpert-positive cases",129298,32324,207.276327187229,160.67130595819,263.159936317876,"pre_ACF"
"16","2010.4","Non-ACF",95,"Smr/Xpert-positive cases",289049,72262,131.466054080983,106.376507560497,160.686929154819,"pre_ACF"
"17","2011.1","ACF",63,"Smr/Xpert-positive cases",130173,32543,193.590019359002,148.790965190026,247.618717716863,"pre-ACF"
"18","2011.1","Non-ACF",88,"Smr/Xpert-positive cases",290961,72740,120.978828704977,97.039514831109,149.028376994011,"pre-ACF"
"19","2011.2","ACF",135,"Smr/Xpert-positive cases",131048,32762,412.062755631524,345.59763606448,487.541487733786,"ACF"
"20","2011.2","Non-ACF",139,"Smr/Xpert-positive cases",292874,73218,189.84402742495,159.619869474539,224.117829472111,"ACF"
"21","2011.3","ACF",140,"Smr/Xpert-positive cases",131928,32982,424.473955490874,357.190355897134,500.704367593352,"ACF"
"22","2011.3","Non-ACF",160,"Smr/Xpert-positive cases",294786,73696,217.108119843682,184.799188057292,253.430804476109,"ACF"
"23","2011.4","ACF",120,"Smr/Xpert-positive cases",132803,33201,361.434896539261,299.753585665284,432.03455022901,"ACF"
"24","2011.4","Non-ACF",135,"Smr/Xpert-positive cases",296699,74175,182.002022244692,152.618253081227,215.385412058707,"ACF"
"25","2012.1","ACF",122,"Smr/Xpert-positive cases",133682,33420,365.050867743866,303.242070892648,435.7168008439,"ACF"
"26","2012.1","Non-ACF",148,"Smr/Xpert-positive cases",298609,74652,198.253228312704,167.624666367751,232.849642620503,"ACF"
"27","2012.2","ACF",134,"Smr/Xpert-positive cases",134558,33640,398.33531510107,333.852208915536,471.600105636264,"ACF"
"28","2012.2","Non-ACF",145,"Smr/Xpert-positive cases",300522,75130,192.998802076401,162.88763974004,227.054057160432,"ACF"
"29","2012.3","ACF",103,"Smr/Xpert-positive cases",135437,33859,304.202723057385,248.36592159212,368.814802037211,"ACF"
"30","2012.3","Non-ACF",171,"Smr/Xpert-positive cases",302431,75608,226.166543222939,193.568080964679,262.673294703422,"ACF"
"31","2012.4","ACF",104,"Smr/Xpert-positive cases",136314,34078,305.18222900405,249.422003799867,369.659854143953,"ACF"
"32","2012.4","Non-ACF",170,"Smr/Xpert-positive cases",304344,76086,223.431380280209,191.135927539953,259.611062845446,"ACF"
"33","2013.1","ACF",83,"Smr/Xpert-positive cases",137189,34297,242.003673790711,192.799264937387,299.912935899495,"ACF"
"34","2013.1","Non-ACF",179,"Smr/Xpert-positive cases",306258,76564,233.791337965624,200.827354865192,270.612071599876,"ACF"
"35","2013.2","ACF",85,"Smr/Xpert-positive cases",138069,34517,246.255468319958,196.746046340626,304.409989560626,"ACF"
"36","2013.2","Non-ACF",150,"Smr/Xpert-positive cases",308169,77042,194.698995353184,164.811836296076,228.430511595037,"ACF"
"37","2013.3","ACF",104,"Smr/Xpert-positive cases",138945,34736,299.40119760479,244.696003998294,362.659652474084,"ACF"
"38","2013.3","Non-ACF",146,"Smr/Xpert-positive cases",310079,77520,188.338493292054,159.050366421272,221.449121447898,"ACF"
"39","2013.4","ACF",90,"Smr/Xpert-positive cases",139820,34955,257.473895007867,207.088705346298,316.38572023389,"ACF"
"40","2013.4","Non-ACF",126,"Smr/Xpert-positive cases",311993,77998,161.542603656504,134.586597835308,192.307427234954,"ACF"
"41","2014.1","ACF",122,"Smr/Xpert-positive cases",140699,35175,346.83724235963,288.108053968293,413.984738272242,"ACF"
"42","2014.1","Non-ACF",129,"Smr/Xpert-positive cases",313904,78476,164.381466945308,137.258225615337,195.28885162898,"ACF"
"43","2014.2","ACF",98,"Smr/Xpert-positive cases",141576,35394,276.88308752896,224.842499900508,337.329593912378,"ACF"
"44","2014.2","Non-ACF",117,"Smr/Xpert-positive cases",315815,78954,148.187552245611,122.570080863398,177.57276806698,"ACF"
"45","2014.3","ACF",109,"Smr/Xpert-positive cases",142453,35613,306.068008873164,251.379019882325,369.092489993412,"ACF"
"46","2014.3","Non-ACF",140,"Smr/Xpert-positive cases",317727,79432,176.251384832309,148.285725836231,207.950536666567,"ACF"
"47","2014.4","ACF",81,"Smr/Xpert-positive cases",143330,35832,226.054922973878,179.559532043837,280.888460853247,"post-ACF"
"48","2014.4","Non-ACF",145,"Smr/Xpert-positive cases",319639,79910,181.454135902891,153.142821207149,213.474476431662,"post-ACF"
"49","2015.1","ACF",107,"Smr/Xpert-positive cases",144207,36052,296.793520470432,243.291278530005,358.533619338026,"post-ACF"
"50","2015.1","Non-ACF",124,"Smr/Xpert-positive cases",321550,80388,154.251878389809,128.314590150039,183.886129257408,"post-ACF"
"51","2015.2","ACF",97,"Smr/Xpert-positive cases",145083,36271,267.431281188829,216.920635018302,326.147504709067,"post-ACF"
"52","2015.2","Non-ACF",132,"Smr/Xpert-positive cases",323462,80866,163.233002745282,136.593071508673,193.54414042504,"post-ACF"
"53","2015.3","ACF",96,"Smr/Xpert-positive cases",145960,36490,263.085776925185,213.150705579127,321.17925145575,"post-ACF"
"54","2015.3","Non-ACF",146,"Smr/Xpert-positive cases",325377,81344,179.484657749803,151.572373124808,211.040393384598,"post-ACF"
"55","2015.4","ACF",81,"Smr/Xpert-positive cases",146839,36710,220.648324707164,175.264054861511,274.172200651595,"post-ACF"
"56","2015.4","Non-ACF",138,"Smr/Xpert-positive cases",327285,81821,168.66085723714,141.714036939335,199.233419937629,"post-ACF"
"57","2016.1","ACF",96,"Smr/Xpert-positive cases",147717,36929,259.958298356305,210.616246688169,317.36227535871,"post-ACF"
"58","2016.1","Non-ACF",121,"Smr/Xpert-positive cases",329199,82300,147.023086269745,122.01039007861,175.648654763264,"post-ACF"
"59","2016.2","ACF",102,"Smr/Xpert-positive cases",148591,37148,274.577366210832,223.938807388328,333.220245384938,"post-ACF"
"60","2016.2","Non-ACF",138,"Smr/Xpert-positive cases",331114,82778,166.710961849767,140.075466263645,196.930422484556,"post-ACF"
"61","2016.3","ACF",102,"Smr/Xpert-positive cases",149470,37368,272.96082209377,222.62007720277,331.259021252952,"post-ACF"
"62","2016.3","Non-ACF",161,"Smr/Xpert-positive cases",333025,83256,193.379456135294,164.684805676499,225.628383285172,"post-ACF"
"63","2016.4","ACF",113,"Smr/Xpert-positive cases",150348,37587,300.635858142443,247.828756468283,361.337257920922,"post-ACF"
"64","2016.4","Non-ACF",154,"Smr/Xpert-positive cases",334937,83734,183.915733154991,156.036364134241,215.331771742003,"post-ACF"
"65","2017.1","ACF",114,"Smr/Xpert-positive cases",151225,37806,301.539438184415,248.795295200577,362.130975285245,"post-ACF"
"66","2017.1","Non-ACF",148,"Smr/Xpert-positive cases",336849,84212,175.746924428822,148.59293421269,206.419911261303,"post-ACF"
"67","2017.2","ACF",84,"Smr/Xpert-positive cases",152103,38026,220.901488455267,176.236770169992,273.419134196561,"post-ACF"
"68","2017.2","Non-ACF",154,"Smr/Xpert-positive cases",338760,84690,181.839650490022,154.274757364712,212.901435913457,"post-ACF"
"69","2017.3","ACF",90,"Smr/Xpert-positive cases",152979,38245,235.324879069159,189.270162746995,289.176201878822,"post-ACF"
"70","2017.3","Non-ACF",144,"Smr/Xpert-positive cases",340672,85168,169.077587826414,142.608490734141,199.027911656033,"post-ACF"
"71","2017.4","ACF",67,"Smr/Xpert-positive cases",153856,38464,174.188851913478,135.018682350343,221.161658198434,"post-ACF"
"72","2017.4","Non-ACF",100,"Smr/Xpert-positive cases",342583,85646,116.759685215889,95.0101247860218,141.993128130985,"post-ACF"
"73","2018.1","ACF",67,"Smr/Xpert-positive cases",154732,38683,173.202698859964,134.254148152691,219.909866173157,"post-ACF"
"74","2018.1","Non-ACF",99,"Smr/Xpert-positive cases",344497,86124,114.950536435837,93.4356395671848,139.930658270657,"post-ACF"
