"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"1","2009.1","ACF",177,"All cases",123155,30789,574.880639189321,493.499754037374,665.787922420591,"pre-ACF"
"2","2009.1","ACF",177,"All cases",123155,30789,574.880639189321,493.499754037374,665.787922420591,"pre_ACF"
"3","2009.1","Non-ACF",339,"All cases",275665,68916,491.903186487898,441.036731686448,547.004038927564,"pre-ACF"
"4","2009.1","Non-ACF",339,"All cases",275665,68916,491.903186487898,441.036731686448,547.004038927564,"pre_ACF"
"5","2009.1","ACF",177,"All cases",123155,30789,574.880639189321,493.499754037374,665.787922420591,"pre-ACF"
"6","2009.1","ACF",177,"All cases",123155,30789,574.880639189321,493.499754037374,665.787922420591,"pre_ACF"
"7","2009.1","Non-ACF",339,"All cases",275665,68916,491.903186487898,441.036731686448,547.004038927564,"pre-ACF"
"8","2009.1","Non-ACF",339,"All cases",275665,68916,491.903186487898,441.036731686448,547.004038927564,"pre_ACF"
"9","2009.2","ACF",171,"All cases",124033,31008,551.470588235294,472.091000910745,640.317747103798,"pre-ACF"
"10","2009.2","ACF",171,"All cases",124033,31008,551.470588235294,472.091000910745,640.317747103798,"pre_ACF"
"11","2009.2","Non-ACF",340,"All cases",277579,69395,489.948843576627,439.356588173795,544.746324308565,"pre-ACF"
"12","2009.2","Non-ACF",340,"All cases",277579,69395,489.948843576627,439.356588173795,544.746324308565,"pre_ACF"
"13","2009.2","ACF",171,"All cases",124033,31008,551.470588235294,472.091000910745,640.317747103798,"pre-ACF"
"14","2009.2","ACF",171,"All cases",124033,31008,551.470588235294,472.091000910745,640.317747103798,"pre_ACF"
"15","2009.2","Non-ACF",340,"All cases",277579,69395,489.948843576627,439.356588173795,544.746324308565,"pre-ACF"
"16","2009.2","Non-ACF",340,"All cases",277579,69395,489.948843576627,439.356588173795,544.746324308565,"pre_ACF"
"17","2009.3","ACF",150,"All cases",124909,31227,480.353540205591,406.702653711726,563.434768134046,"pre-ACF"
"18","2009.3","ACF",150,"All cases",124909,31227,480.353540205591,406.702653711726,563.434768134046,"pre_ACF"
"19","2009.3","Non-ACF",435,"All cases",279488,69872,622.566979619876,565.587336197981,683.703404521907,"pre-ACF"
"20","2009.3","Non-ACF",435,"All cases",279488,69872,622.566979619876,565.587336197981,683.703404521907,"pre_ACF"
"21","2009.3","ACF",150,"All cases",124909,31227,480.353540205591,406.702653711726,563.434768134046,"pre-ACF"
"22","2009.3","ACF",150,"All cases",124909,31227,480.353540205591,406.702653711726,563.434768134046,"pre_ACF"
"23","2009.3","Non-ACF",435,"All cases",279488,69872,622.566979619876,565.587336197981,683.703404521907,"pre-ACF"
"24","2009.3","Non-ACF",435,"All cases",279488,69872,622.566979619876,565.587336197981,683.703404521907,"pre_ACF"
"25","2009.4","ACF",195,"All cases",125786,31446,620.110665903454,536.341471922557,713.188032325751,"pre-ACF"
"26","2009.4","ACF",195,"All cases",125786,31446,620.110665903454,536.341471922557,713.188032325751,"pre_ACF"
"27","2009.4","Non-ACF",406,"All cases",281400,70350,577.114427860697,522.475522982009,635.8879460977,"pre-ACF"
"28","2009.4","Non-ACF",406,"All cases",281400,70350,577.114427860697,522.475522982009,635.8879460977,"pre_ACF"
"29","2009.4","ACF",195,"All cases",125786,31446,620.110665903454,536.341471922557,713.188032325751,"pre-ACF"
"30","2009.4","ACF",195,"All cases",125786,31446,620.110665903454,536.341471922557,713.188032325751,"pre_ACF"
"31","2009.4","Non-ACF",406,"All cases",281400,70350,577.114427860697,522.475522982009,635.8879460977,"pre-ACF"
"32","2009.4","Non-ACF",406,"All cases",281400,70350,577.114427860697,522.475522982009,635.8879460977,"pre_ACF"
"33","2010.1","ACF",171,"All cases",126665,31666,540.011368660393,462.277563270744,627.018159455002,"pre-ACF"
"34","2010.1","ACF",171,"All cases",126665,31666,540.011368660393,462.277563270744,627.018159455002,"pre_ACF"
"35","2010.1","Non-ACF",333,"All cases",283311,70828,470.153046817643,421.106972467999,523.321673772318,"pre-ACF"
"36","2010.1","Non-ACF",333,"All cases",283311,70828,470.153046817643,421.106972467999,523.321673772318,"pre_ACF"
"37","2010.1","ACF",169,"All cases",126665,31666,533.69544621992,456.433309444855,620.233096680403,"pre-ACF"
"38","2010.1","ACF",169,"All cases",126665,31666,533.69544621992,456.433309444855,620.233096680403,"pre_ACF"
"39","2010.1","Non-ACF",353,"All cases",283311,70828,498.390467046931,447.859462833785,553.039556823936,"pre-ACF"
"40","2010.1","Non-ACF",353,"All cases",283311,70828,498.390467046931,447.859462833785,553.039556823936,"pre_ACF"
"41","2010.1","ACF",171,"All cases",126665,31666,540.011368660393,462.277563270744,627.018159455002,"pre-ACF"
"42","2010.1","ACF",171,"All cases",126665,31666,540.011368660393,462.277563270744,627.018159455002,"pre_ACF"
"43","2010.1","Non-ACF",333,"All cases",283311,70828,470.153046817643,421.106972467999,523.321673772318,"pre-ACF"
"44","2010.1","Non-ACF",333,"All cases",283311,70828,470.153046817643,421.106972467999,523.321673772318,"pre_ACF"
"45","2010.2","ACF",144,"All cases",127540,31885,451.623020228948,381.002143520104,531.489964126053,"pre-ACF"
"46","2010.2","ACF",144,"All cases",127540,31885,451.623020228948,381.002143520104,531.489964126053,"pre_ACF"
"47","2010.2","Non-ACF",281,"All cases",285226,71306,394.076234818949,349.418295358637,442.84187039603,"pre-ACF"
"48","2010.2","Non-ACF",281,"All cases",285226,71306,394.076234818949,349.418295358637,442.84187039603,"pre_ACF"
"49","2010.2","ACF",156,"All cases",127540,31885,489.258271914693,415.641764710968,572.1041557304,"pre-ACF"
"50","2010.2","ACF",156,"All cases",127540,31885,489.258271914693,415.641764710968,572.1041557304,"pre_ACF"
"51","2010.2","Non-ACF",325,"All cases",285226,71306,455.782122121561,407.666718795183,507.994525439977,"pre-ACF"
"52","2010.2","Non-ACF",325,"All cases",285226,71306,455.782122121561,407.666718795183,507.994525439977,"pre_ACF"
"53","2010.2","ACF",144,"All cases",127540,31885,451.623020228948,381.002143520104,531.489964126053,"pre-ACF"
"54","2010.2","ACF",144,"All cases",127540,31885,451.623020228948,381.002143520104,531.489964126053,"pre_ACF"
"55","2010.2","Non-ACF",281,"All cases",285226,71306,394.076234818949,349.418295358637,442.84187039603,"pre-ACF"
"56","2010.2","Non-ACF",281,"All cases",285226,71306,394.076234818949,349.418295358637,442.84187039603,"pre_ACF"
"57","2010.3","ACF",211,"All cases",128417,32104,657.238973336656,571.780607003745,751.799742163339,"pre-ACF"
"58","2010.3","ACF",211,"All cases",128417,32104,657.238973336656,571.780607003745,751.799742163339,"pre_ACF"
"59","2010.3","Non-ACF",312,"All cases",287138,71784,434.637245068539,387.830437720462,485.517025356114,"pre-ACF"
"60","2010.3","Non-ACF",312,"All cases",287138,71784,434.637245068539,387.830437720462,485.517025356114,"pre_ACF"
"61","2010.3","ACF",161,"All cases",128417,32104,501.495140792425,427.174486490455,584.976264325603,"pre-ACF"
"62","2010.3","ACF",161,"All cases",128417,32104,501.495140792425,427.174486490455,584.976264325603,"pre_ACF"
"63","2010.3","Non-ACF",341,"All cases",287138,71784,475.036219770422,426.050675855484,528.088153228888,"pre-ACF"
"64","2010.3","Non-ACF",341,"All cases",287138,71784,475.036219770422,426.050675855484,528.088153228888,"pre_ACF"
"65","2010.3","ACF",211,"All cases",128417,32104,657.238973336656,571.780607003745,751.799742163339,"pre-ACF"
"66","2010.3","ACF",211,"All cases",128417,32104,657.238973336656,571.780607003745,751.799742163339,"pre_ACF"
