acf,year_q,n,population,qpop_atrisk,acf_cnr
ACF,2009.1,177,123155,30788.75,574.8853071332874
ACF,2009.2,171,123964,30991,551.7730954147979
ACF,2009.3,150,124772,31193,480.8771198666367
ACF,2009.4,195,125581,31395.25,621.1130664670611
ACF,2010.1,171,126392,31598,541.1734919931641
ACF,2010.2,144,127199,31799.75,452.8337486929929
ACF,2010.3,211,128006,32001.5,659.3440932456291
ACF,2010.4,204,128817,32204.25,633.456764246955
ACF,2011.1,142,129625,32406.25,438.18707810993254
ACF,2011.2,249,130434,32608.5,763.6045816274898
ACF,2011.3,261,131242,32810.5,795.4770576492281
ACF,2011.4,249,132049,33012.25,754.265462063325
ACF,2012.1,237,132860,33215,713.5330423001656
ACF,2012.2,246,133669,33417.25,736.1467505554766
ACF,2012.3,225,134477,33619.25,669.2594272626546
ACF,2012.4,233,135285,33821.25,688.9159921646894
ACF,2013.1,223,136095,34023.75,655.4245196370182
ACF,2013.2,188,136903,34225.75,549.2940256970263
ACF,2013.3,216,137710,34427.5,627.4054171810326
ACF,2013.4,203,138519,34629.75,586.2011709584966
ACF,2014.1,243,139329,34832.25,697.6293521090369
ACF,2014.2,197,140137,35034.25,562.3068854049966
ACF,2014.3,220,140946,35236.5,624.3525889347693
ACF,2014.4,216,141756,35439,609.4980106662152
ACF,2015.1,208,142566,35641.5,583.5893551057054
ACF,2015.2,189,143374,35843.5,527.2922566155648
ACF,2015.3,209,144182,36045.5,579.8227240570944
ACF,2015.4,176,144991,36247.75,485.54737880282227
ACF,2016.1,193,145800,36450,529.4924554183814
ACF,2016.2,190,146609,36652.25,518.3856379894822
ACF,2016.3,184,147418,36854.5,499.2606058961592
ACF,2016.4,211,148225,37056.25,569.4046213526733
ACF,2017.1,213,149036,37259,571.6739579698865
ACF,2017.2,167,149844,37461,445.79696217399425
ACF,2017.3,170,150652,37663,451.3713724344848
ACF,2017.4,128,151459,37864.75,338.0452795806126
ACF,2018.1,156,152269,38067.25,409.80107572782373
ACF,2018.2,179,153078,38269.5,467.73540286651246
ACF,2018.3,193,153887,38471.75,501.66680746261864
ACF,2018.4,139,154696,38674,359.4145937839375
Non-ACF,2009.1,339,277676,69419,488.3389273829931
Non-ACF,2009.2,340,279461,69865.25,486.65108906072766
Non-ACF,2009.3,435,281248,70312,618.671066105359
Non-ACF,2009.4,406,283034,70758.5,573.7826550873747
Non-ACF,2010.1,333,284819,71204.75,467.6654296237259
Non-ACF,2010.2,281,286603,71650.75,392.1801237251529
Non-ACF,2010.3,312,288391,72097.75,432.7458207780409
Non-ACF,2010.4,297,290177,72544.25,409.4052940102076
Non-ACF,2011.1,242,291962,72990.5,331.54999623238643
Non-ACF,2011.2,311,293748,73437,423.49224505358336
Non-ACF,2011.3,325,295534,73883.5,439.88170565823225
Non-ACF,2011.4,332,297318,74329.5,446.6598053262836
Non-ACF,2012.1,312,299106,74776.5,417.2433852881587
Non-ACF,2012.2,276,300893,75223.25,366.90783766986937
Non-ACF,2012.3,347,302680,75670,458.5701070437426
Non-ACF,2012.4,346,304463,76115.75,454.5708345513248
Non-ACF,2013.1,366,306250,76562.5,478.04081632653066
Non-ACF,2013.2,341,308036,77009,442.80538638340977
Non-ACF,2013.3,339,309822,77455.5,437.6706625094409
Non-ACF,2013.4,274,311607,77901.75,351.72508961608696
Non-ACF,2014.1,296,313394,78348.5,377.79919207132235
Non-ACF,2014.2,253,315177,78794.25,321.089419595973
Non-ACF,2014.3,259,316963,79240.75,326.8520300476712
Non-ACF,2014.4,302,318749,79687.25,378.9815811186859
Non-ACF,2015.1,241,320538,80134.5,300.74437352201613
Non-ACF,2015.2,254,322321,80580.25,315.21371551962176
Non-ACF,2015.3,283,324107,81026.75,349.26737157790484
Non-ACF,2015.4,274,325893,81473.25,336.30670189295256
Non-ACF,2016.1,246,327677,81919.25,300.29571803941076
Non-ACF,2016.2,250,329465,82366.25,303.5223771872581
Non-ACF,2016.3,257,331251,82812.75,310.3386857700052
Non-ACF,2016.4,287,333035,83258.75,344.7085141201375
Non-ACF,2017.1,259,334820,83705,309.41998685861057
Non-ACF,2017.2,270,336607,84151.75,320.8489425353602
Non-ACF,2017.3,315,338394,84598.5,372.3470274295643
Non-ACF,2017.4,237,340181,85045.25,278.6751758622616
Non-ACF,2018.1,254,341967,85491.75,297.1046913883503
Non-ACF,2018.2,251,343752,85938,292.07102795038287
Non-ACF,2018.3,273,345535,86383.75,316.03166104736135
Non-ACF,2018.4,203,347322,86830.5,233.7888184451316
