period2,agegp,sex,acf,n,population,q_population,cnr,conf.low,conf.high
ACF,16-19,Female,ACF,37,9769,31749,116.53910359381398,82.0671449471203,160.59838296521423
ACF,16-19,Female,Non-ACF,38,31276,101647,37.38428089368107,26.456657841729374,51.30927261596427
ACF,16-19,Male,ACF,27,10425,33881,79.6906820932086,52.523023905926685,115.92473899032663
ACF,16-19,Male,Non-ACF,46,27584,89648,51.31179725147243,37.569057282113945,68.43688403519126
ACF,20-29,Female,ACF,204,25537,82995,245.79793963491778,213.25710964775982,281.8903880518031
ACF,20-29,Female,Non-ACF,240,58652,190619,125.90560227469456,110.48742522442959,142.87111946881967
ACF,20-29,Male,ACF,238,26316,85527,278.274696879348,244.08161898691003,315.90621173976524
ACF,20-29,Male,Non-ACF,369,54730,177872,207.45255014842132,186.84199794301,229.71189470161016
ACF,30-39,Female,ACF,207,19182,62342,332.03939559205674,288.40534682250416,380.3927069245806
ACF,30-39,Female,Non-ACF,215,28530,92722,231.87593019995253,201.9444083109388,264.9855083790353
ACF,30-39,Male,ACF,383,17663,57405,667.1892692274192,602.2267927118024,737.211949945027
ACF,30-39,Male,Non-ACF,477,38457,124985,381.6457974956995,348.2176354911981,417.40743458947736
ACF,40-49,Female,ACF,73,6848,22256,328.0014378145219,257.18622628567385,412.23841383188056
ACF,40-49,Female,Non-ACF,89,14600,47450,187.56585879873552,150.657032640075,230.7659996848054
ACF,40-49,Male,ACF,121,7410,24082,502.4499626276887,417.08956130935655,600.0694080334247
ACF,40-49,Male,Non-ACF,208,20075,65244,318.8032616025995,277.00355426564283,365.1132774988917
ACF,50+,Female,ACF,45,6160,20020,224.77522477522479,163.99839197461267,300.6526240790552
ACF,50+,Female,Non-ACF,70,11677,37950,184.45322793148878,143.81769686940385,232.98891972675636
ACF,50+,Male,ACF,74,6063,19705,375.5392032479066,294.9906259444222,471.22884703055774
ACF,50+,Male,Non-ACF,115,16716,54327,211.68111620372926,174.79514157291064,254.03722145346984
Post-ACF: y1,16-19,Female,ACF,10,10406,10406,96.09840476648087,46.09223403165657,176.657143226676
Post-ACF: y1,16-19,Female,Non-ACF,14,33313,33313,42.02563563773902,22.97764995007874,70.50183249107906
Post-ACF: y1,16-19,Male,ACF,6,11264,11264,53.26704545454545,19.550495397065056,115.90360448474686
Post-ACF: y1,16-19,Male,Non-ACF,7,29803,29803,23.48756836560078,9.443725394754399,48.38734145396362
Post-ACF: y1,20-29,Female,ACF,51,25895,25895,196.9492179957521,146.6757061467778,258.8715495025296
Post-ACF: y1,20-29,Female,Non-ACF,60,59474,59474,100.88442008272523,76.99399562359251,129.83943110653945
Post-ACF: y1,20-29,Male,ACF,70,26509,26509,264.06126221283336,205.9047890480999,333.5094299480111
Post-ACF: y1,20-29,Male,Non-ACF,89,55130,55130,161.43660438962453,129.666290919766,198.6246474352465
Post-ACF: y1,30-39,Female,ACF,44,21586,21586,203.8358195126471,148.14528327055513,273.5445430381838
Post-ACF: y1,30-39,Female,Non-ACF,70,32106,32106,218.02778296891546,170.00157925505346,275.3858511885522
Post-ACF: y1,30-39,Male,ACF,115,18584,18584,618.8118811881188,511.1551095490073,742.3289949172184
Post-ACF: y1,30-39,Male,Non-ACF,136,40461,40461,336.12614616544323,282.0838773897514,397.4773171839881
Post-ACF: y1,40-49,Female,ACF,17,7698,7698,220.83658093011172,128.6964334167563,353.3460625740438
Post-ACF: y1,40-49,Female,Non-ACF,28,16412,16412,170.60687301974164,113.39603772517418,246.4807605932515
Post-ACF: y1,40-49,Male,ACF,38,8488,8488,447.69085768143265,317.0016477589299,613.9779329405408
Post-ACF: y1,40-49,Male,Non-ACF,61,22997,22997,265.2519893899204,202.9556529397938,340.59864493722154
Post-ACF: y1,50+,Female,ACF,13,6824,6824,190.50410316529894,101.47318115250809,325.54749737923134
Post-ACF: y1,50+,Female,Non-ACF,18,12936,12936,139.14656771799628,82.48726876562525,219.82275588341508
Post-ACF: y1,50+,Male,ACF,23,6515,6515,353.03146584804296,223.91927073433772,529.2524426135313
Post-ACF: y1,50+,Male,Non-ACF,43,17961,17961,239.40760536718446,173.31299447456814,322.3464868619482
Post-ACF: y2,16-19,Female,ACF,9,10672,10672,84.3328335832084,38.56936239107781,160.0293511346338
Post-ACF: y2,16-19,Female,Non-ACF,14,34164,34164,40.978808102095776,22.40524887273491,68.74592786558068
Post-ACF: y2,16-19,Male,ACF,9,11614,11614,77.49268124677114,35.440516306516294,147.05404846722303
Post-ACF: y2,16-19,Male,Non-ACF,12,30731,30731,39.04851778334581,20.17851476296064,68.1999568021746
Post-ACF: y2,20-29,Female,ACF,35,26045,26045,134.38279900172776,93.61984020738348,186.8448655001605
