year_q,acf,cases,tbcases,population,q_population,cnr,conf.low,conf.high,period
2009.1,ACF,75,Smr/Xpert-positive cases,123155,30789,243.5934911819156,191.64846737975097,305.25223408845454,pre_ACF
2009.1,Non-ACF,107,Smr/Xpert-positive cases,275665,68916,155.26147774101804,127.25743997056165,187.58724194055634,pre_ACF
2009.2,ACF,88,Smr/Xpert-positive cases,124033,31008,283.7977296181631,227.67440330012553,349.531567049413,pre_ACF
2009.2,Non-ACF,127,Smr/Xpert-positive cases,277579,69395,183.0103033359752,152.5895803288686,217.70970732544697,pre_ACF
2009.3,ACF,56,Smr/Xpert-positive cases,124909,31227,179.33198834342076,135.49301622865877,232.8151400114793,pre_ACF
2009.3,Non-ACF,189,Smr/Xpert-positive cases,279488,69872,270.49461873139455,233.345842575216,311.86368584286276,pre_ACF
2009.4,ACF,65,Smr/Xpert-positive cases,125786,31446,206.70355530115117,159.56455571129592,263.385860038662,pre_ACF
2009.4,Non-ACF,172,Smr/Xpert-positive cases,281400,70350,244.4918265813788,209.35328445504481,283.82892127967324,pre_ACF
2010.1,ACF,74,Smr/Xpert-positive cases,126665,31666,233.68913029747995,183.53941662142924,293.2877189569706,pre_ACF
2010.1,Non-ACF,106,Smr/Xpert-positive cases,283311,70828,149.65832721522563,122.54373947114448,180.9790562118852,pre_ACF
2010.2,ACF,65,Smr/Xpert-positive cases,127540,31885,203.85761329778893,157.3671571326695,259.76051890014764,pre_ACF
2010.2,Non-ACF,92,Smr/Xpert-positive cases,285226,71306,129.02140072364176,104.02174202118998,158.210178095679,pre_ACF
2010.3,ACF,71,Smr/Xpert-positive cases,128417,32104,221.15624221280837,172.76402469036995,278.87785742061243,pre_ACF
2010.3,Non-ACF,101,Smr/Xpert-positive cases,287138,71784,140.69987741000782,114.61652318824017,170.93722988211996,pre_ACF
2010.4,ACF,67,Smr/Xpert-positive cases,129298,32324,207.2763271872293,160.67130595819003,263.1599363178757,pre_ACF
2010.4,Non-ACF,95,Smr/Xpert-positive cases,289049,72262,131.4660540809831,106.37650756049652,160.68692915481935,pre_ACF
2011.1,ACF,63,Smr/Xpert-positive cases,130173,32543,193.59001935900193,148.79096519002618,247.6187177168634,pre-ACF
2011.1,Non-ACF,88,Smr/Xpert-positive cases,290961,72740,120.97882870497664,97.03951483110902,149.02837699401118,pre-ACF
2011.2,ACF,135,Smr/Xpert-positive cases,131048,32762,412.0627556315243,345.5976360644798,487.5414877337864,ACF
2011.2,Non-ACF,139,Smr/Xpert-positive cases,292874,73218,189.84402742495016,159.61986947453914,224.11782947211108,ACF
2011.3,ACF,140,Smr/Xpert-positive cases,131928,32982,424.4739554908738,357.19035589713377,500.70436759335234,ACF
2011.3,Non-ACF,160,Smr/Xpert-positive cases,294786,73696,217.10811984368218,184.79918805729233,253.4308044761091,ACF
2011.4,ACF,120,Smr/Xpert-positive cases,132803,33201,361.4348965392609,299.7535856652837,432.03455022901034,ACF
2011.4,Non-ACF,135,Smr/Xpert-positive cases,296699,74175,182.0020222446916,152.61825308122746,215.38541205870652,ACF
2012.1,ACF,122,Smr/Xpert-positive cases,133682,33420,365.050867743866,303.2420708926481,435.7168008438998,ACF
2012.1,Non-ACF,148,Smr/Xpert-positive cases,298609,74652,198.25322831270427,167.62466636775096,232.84964262050258,ACF
2012.2,ACF,134,Smr/Xpert-positive cases,134558,33640,398.33531510107014,333.8522089155357,471.600105636264,ACF
2012.2,Non-ACF,145,Smr/Xpert-positive cases,300522,75130,192.99880207640092,162.8876397400403,227.05405716043242,ACF
2012.3,ACF,103,Smr/Xpert-positive cases,135437,33859,304.20272305738507,248.3659215921203,368.8148020372107,ACF
