"year","quarter","sex","age","acf","hiv","smrxpertcases","period","acfperiod","year_q","population","hiv_prev","newpopulation"
"2009","1","females","16-19","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.1",8843,0.03,8577.71
"2009","1","females","16-19","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.1",28311,0.028,27518.292
"2009","1","females","16-19","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2009.1",28311,0.028,792.708
"2009","1","females","20-29","ACF",,2,"apre-ACF","ACF.apre-ACF","2009.1",25015,0.073,
"2009","1","females","20-29","ACF","a) HIV-negative",5,"apre-ACF","ACF.apre-ACF","2009.1",25015,0.073,23188.905
"2009","1","females","20-29","ACF","b) HIV-positive",9,"apre-ACF","ACF.apre-ACF","2009.1",25015,0.073,1826.095
"2009","1","females","20-29","Non-ACF",,3,"apre-ACF","Non-ACF.apre-ACF","2009.1",57454,0.09,
"2009","1","females","20-29","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.1",57454,0.09,52283.14
"2009","1","females","20-29","Non-ACF","b) HIV-positive",16,"apre-ACF","Non-ACF.apre-ACF","2009.1",57454,0.09,5170.86
"2009","1","females","30-39","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.1",15683,0.206,
"2009","1","females","30-39","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.1",15683,0.206,12452.302
"2009","1","females","30-39","ACF","b) HIV-positive",3,"apre-ACF","ACF.apre-ACF","2009.1",15683,0.206,3230.698
"2009","1","females","30-39","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.1",23326,0.212,
"2009","1","females","30-39","Non-ACF","a) HIV-negative",6,"apre-ACF","Non-ACF.apre-ACF","2009.1",23326,0.212,18380.888
"2009","1","females","30-39","Non-ACF","b) HIV-positive",10,"apre-ACF","Non-ACF.apre-ACF","2009.1",23326,0.212,4945.112
"2009","1","females","40-49","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.1",5611,0.356,
"2009","1","females","40-49","ACF","b) HIV-positive",3,"apre-ACF","ACF.apre-ACF","2009.1",5611,0.356,1997.516
"2009","1","females","40-49","Non-ACF",,2,"apre-ACF","Non-ACF.apre-ACF","2009.1",11963,0.325,
"2009","1","females","40-49","Non-ACF","b) HIV-positive",3,"apre-ACF","Non-ACF.apre-ACF","2009.1",11963,0.325,3887.975
"2009","1","females","50+","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.1",5194,0.184,
"2009","1","females","50+","ACF","b) HIV-positive",3,"apre-ACF","ACF.apre-ACF","2009.1",5194,0.184,955.696
"2009","1","females","50+","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.1",9845,0.215,
"2009","1","females","50+","Non-ACF","b) HIV-positive",2,"apre-ACF","Non-ACF.apre-ACF","2009.1",9845,0.215,2116.675
"2009","1","males","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.1",9204,0.022,202.488
"2009","1","males","16-19","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.1",24354,0.019,23891.274
"2009","1","males","20-29","ACF",,5,"apre-ACF","ACF.apre-ACF","2009.1",26036,0.016,
"2009","1","males","20-29","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.1",26036,0.016,25619.424
"2009","1","males","20-29","ACF","b) HIV-positive",4,"apre-ACF","ACF.apre-ACF","2009.1",26036,0.016,416.576
"2009","1","males","20-29","Non-ACF",,7,"apre-ACF","Non-ACF.apre-ACF","2009.1",54147,0.017,
"2009","1","males","20-29","Non-ACF","a) HIV-negative",4,"apre-ACF","Non-ACF.apre-ACF","2009.1",54147,0.017,53226.501
"2009","1","males","20-29","Non-ACF","b) HIV-positive",6,"apre-ACF","Non-ACF.apre-ACF","2009.1",54147,0.017,920.499
"2009","1","males","30-39","ACF",,7,"apre-ACF","ACF.apre-ACF","2009.1",16323,0.111,
"2009","1","males","30-39","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.1",16323,0.111,14511.147
"2009","1","males","30-39","ACF","b) HIV-positive",11,"apre-ACF","ACF.apre-ACF","2009.1",16323,0.111,1811.853
"2009","1","males","30-39","Non-ACF",,8,"apre-ACF","Non-ACF.apre-ACF","2009.1",35539,0.145,
"2009","1","males","30-39","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.1",35539,0.145,30385.845
"2009","1","males","30-39","Non-ACF","b) HIV-positive",10,"apre-ACF","Non-ACF.apre-ACF","2009.1",35539,0.145,5153.155
"2009","1","males","40-49","ACF",,4,"apre-ACF","ACF.apre-ACF","2009.1",5840,0.248,
"2009","1","males","40-49","ACF","b) HIV-positive",2,"apre-ACF","ACF.apre-ACF","2009.1",5840,0.248,1448.32
"2009","1","males","40-49","Non-ACF",,3,"apre-ACF","Non-ACF.apre-ACF","2009.1",15822,0.24,
"2009","1","males","40-49","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.1",15822,0.24,12024.72
"2009","1","males","40-49","Non-ACF","b) HIV-positive",6,"apre-ACF","Non-ACF.apre-ACF","2009.1",15822,0.24,3797.28
"2009","1","males","50+","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.1",5406,0.199,1075.794
"2009","1","males","50+","Non-ACF",,5,"apre-ACF","Non-ACF.apre-ACF","2009.1",14904,0.251,
"2009","1","males","50+","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.1",14904,0.251,11163.096
"2009","1","males","50+","Non-ACF","b) HIV-positive",3,"apre-ACF","Non-ACF.apre-ACF","2009.1",14904,0.251,3740.904
"2009","2","females","16-19","ACF",,2,"apre-ACF","ACF.apre-ACF","2009.2",8909,0.03,
"2009","2","females","16-19","ACF","a) HIV-negative",3,"apre-ACF","ACF.apre-ACF","2009.2",8909,0.03,8641.73
"2009","2","females","16-19","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.2",28524,0.028,27725.328
"2009","2","females","20-29","ACF",,2,"apre-ACF","ACF.apre-ACF","2009.2",25053,0.073,
"2009","2","females","20-29","ACF","a) HIV-negative",4,"apre-ACF","ACF.apre-ACF","2009.2",25053,0.073,23224.131
"2009","2","females","20-29","ACF","b) HIV-positive",7,"apre-ACF","ACF.apre-ACF","2009.2",25053,0.073,1828.869
"2009","2","females","20-29","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.2",57540,0.09,
"2009","2","females","20-29","Non-ACF","a) HIV-negative",6,"apre-ACF","Non-ACF.apre-ACF","2009.2",57540,0.09,52361.4
"2009","2","females","20-29","Non-ACF","b) HIV-positive",8,"apre-ACF","Non-ACF.apre-ACF","2009.2",57540,0.09,5178.6
"2009","2","females","30-39","ACF",,4,"apre-ACF","ACF.apre-ACF","2009.2",15935,0.206,
"2009","2","females","30-39","ACF","a) HIV-negative",4,"apre-ACF","ACF.apre-ACF","2009.2",15935,0.206,12652.39
"2009","2","females","30-39","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.2",15935,0.206,3282.61
"2009","2","females","30-39","Non-ACF",,2,"apre-ACF","Non-ACF.apre-ACF","2009.2",23700,0.212,
"2009","2","females","30-39","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.2",23700,0.212,18675.6
"2009","2","females","30-39","Non-ACF","b) HIV-positive",10,"apre-ACF","Non-ACF.apre-ACF","2009.2",23700,0.212,5024.4
"2009","2","females","40-49","ACF","b) HIV-positive",2,"apre-ACF","ACF.apre-ACF","2009.2",5700,0.356,2029.2
"2009","2","females","40-49","Non-ACF","b) HIV-positive",4,"apre-ACF","Non-ACF.apre-ACF","2009.2",12152,0.325,3949.4
"2009","2","females","50+","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.2",5263,0.184,
"2009","2","females","50+","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.2",5263,0.184,4294.608
"2009","2","females","50+","ACF","b) HIV-positive",3,"apre-ACF","ACF.apre-ACF","2009.2",5263,0.184,968.392
"2009","2","females","50+","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.2",9977,0.215,7831.945
"2009","2","females","50+","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2009.2",9977,0.215,2145.055
"2009","2","males","16-19","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.2",9292,0.022,
"2009","2","males","16-19","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.2",9292,0.022,9087.576
"2009","2","males","16-19","Non-ACF",,2,"apre-ACF","Non-ACF.apre-ACF","2009.2",24586,0.019,
"2009","2","males","16-19","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.2",24586,0.019,24118.866
"2009","2","males","20-29","ACF",,10,"apre-ACF","ACF.apre-ACF","2009.2",26056,0.016,
"2009","2","males","20-29","ACF","a) HIV-negative",3,"apre-ACF","ACF.apre-ACF","2009.2",26056,0.016,25639.104
"2009","2","males","20-29","ACF","b) HIV-positive",6,"apre-ACF","ACF.apre-ACF","2009.2",26056,0.016,416.896
"2009","2","males","20-29","Non-ACF",,7,"apre-ACF","Non-ACF.apre-ACF","2009.2",54189,0.017,
