year,quarter,sex,age,acf,population,hiv,n,hiv_prev,hivpop,period,acfperiod
2009,1,females,16-19,ACF,8843,a) HIV-negative,2,0.032,8560.024,apre-ACF,ACF.apre-ACF
2009,2,females,16-19,ACF,8909,,2,0.032,,apre-ACF,ACF.apre-ACF
2009,2,females,16-19,ACF,8909,a) HIV-negative,3,0.032,8623.912,apre-ACF,ACF.apre-ACF
2009,3,females,16-19,ACF,8976,,,0.032,,apre-ACF,ACF.apre-ACF
2009,4,females,16-19,ACF,9042,,1,0.032,,apre-ACF,ACF.apre-ACF
2009,4,females,16-19,ACF,9042,a) HIV-negative,1,0.032,8752.656,apre-ACF,ACF.apre-ACF
2009,4,females,16-19,ACF,9042,b) HIV-positive,1,0.032,289.344,apre-ACF,ACF.apre-ACF
2010,1,females,16-19,ACF,9109,,1,0.032,,apre-ACF,ACF.apre-ACF
2010,1,females,16-19,ACF,9109,b) HIV-positive,1,0.032,291.488,apre-ACF,ACF.apre-ACF
2010,2,females,16-19,ACF,9175,,,0.032,,apre-ACF,ACF.apre-ACF
2010,3,females,16-19,ACF,9242,a) HIV-negative,2,0.032,8946.256,apre-ACF,ACF.apre-ACF
2010,4,females,16-19,ACF,9309,,1,0.032,,apre-ACF,ACF.apre-ACF
2010,4,females,16-19,ACF,9309,a) HIV-negative,1,0.032,9011.112,apre-ACF,ACF.apre-ACF
2011,1,females,16-19,ACF,9375,b) HIV-positive,2,0.032,300,apre-ACF,ACF.apre-ACF
2011,2,females,16-19,ACF,9441,,1,0.032,,bACF,ACF.bACF
2011,2,females,16-19,ACF,9441,a) HIV-negative,1,0.032,9138.888,bACF,ACF.bACF
2011,2,females,16-19,ACF,9441,b) HIV-positive,1,0.032,302.112,bACF,ACF.bACF
2011,3,females,16-19,ACF,9508,a) HIV-negative,2,0.032,9203.744,bACF,ACF.bACF
2011,3,females,16-19,ACF,9508,b) HIV-positive,1,0.032,304.256,bACF,ACF.bACF
2011,4,females,16-19,ACF,9574,a) HIV-negative,1,0.032,9267.632,bACF,ACF.bACF
2011,4,females,16-19,ACF,9574,b) HIV-positive,2,0.032,306.368,bACF,ACF.bACF
2012,1,females,16-19,ACF,9641,a) HIV-negative,3,0.032,9332.488,bACF,ACF.bACF
2012,1,females,16-19,ACF,9641,b) HIV-positive,2,0.032,308.512,bACF,ACF.bACF
2012,2,females,16-19,ACF,9707,a) HIV-negative,1,0.032,9396.376,bACF,ACF.bACF
2012,2,females,16-19,ACF,9707,b) HIV-positive,1,0.032,310.624,bACF,ACF.bACF
2012,3,females,16-19,ACF,9774,,,0.032,,bACF,ACF.bACF
2012,4,females,16-19,ACF,9840,,1,0.032,,bACF,ACF.bACF
2012,4,females,16-19,ACF,9840,a) HIV-negative,4,0.032,9525.12,bACF,ACF.bACF
2013,1,females,16-19,ACF,9907,a) HIV-negative,1,0.032,9589.976,bACF,ACF.bACF
2013,2,females,16-19,ACF,9973,a) HIV-negative,1,0.032,9653.864,bACF,ACF.bACF
